conference,year,session name,paper title,DOI,author list,abstract
CUI,2025,"Usability, UX, and evaluation of CUIs",Exploring LLMs for Automated Generation and Adaptation of Questionnaires,10.1145/3719160.3736606,"Divya Mani Adhikari, Alexander Hartland, Ingmar Weber, Vikram Kamath Cannanure","Effective questionnaire design improves the validity of the results, but creating and adapting questionnaires across contexts is challenging due to resource constraints and limited expert access. Recently, the emergence of LLMs has led researchers to explore their potential in survey research. In this work, we focus on the suitability of LLMs in assisting the generation and adaptation of questionnaires. We introduce a novel pipeline that leverages LLMs to create new questionnaires, pretest with a target audience to determine potential issues and adapt existing standardized questionnaires for different contexts. We evaluated our pipeline for creation and adaptation through two studies on Prolific, involving 238 participants from the US and 118 participants from South Africa. Our findings show that participants found LLM-generated text clearer, LLM-pretested text more specific, and LLM-adapted questions slightly clearer and less biased than traditional ones. Our work opens new opportunities for LLM-driven questionnaire support in survey research."
CUI,2025,CUIs for health and wellbeing,Understanding the Multimodal Voice Assistant as an Informal and Social Care Support Tool in the UK,10.1145/3719160.3736605,"Elaine Czech, Ewan Soubutts, Ian Craddock, Aisling Ann O'Kane","Telecare devices help deliver health and care outside of clinical settings. However, digital infrastructure modernisation in the UK could render previously relied-on telecare devices for social care obsolete. With local councils and informal carers struggling to contain social care costs and provide quality health and care, there is a need to provide technology-enabled care using updated digital infrastructure, and there is promise in using cheap and widely available voice assistants as care devices. We examine the feasibility of Amazon Echo Show as a care device for recipients of social care in the UK. Differences between the ten households in receipt of care meant that the functionality and experience of using Echo Show varied over the three months of the qualitative study, however we captured promising use cases such as direct access to carers in an emergency, despite some negative experiences like the exacerbation of cognitive limitations."
CUI,2025,Posters,Designing Dialogic Disclaimers: Principles for Ethical Conversational Design in LLM Interfaces,10.1145/3719160.3737640,Theodore H. Cheng,"Current disclaimer approaches in large language model (LLM) systems often disrupt conversational flow with static, one-shot warnings that fail to engage users in deeper ethical reflection and, as a growing body of evidence reveals, are largely ineffective at achieving their intended goals of calibrated trust and informed use. This paper examines how disclaimers can be reimagined as integrated dialogic elements that maintain conversational coherence while effectively communicating necessary ethical information. Through a theoretical synthesis drawing on research in conversational repair, dialogue structure, AI transparency, and empirical studies of user interaction with LLMs, we identify four design principles for dialogic disclaimers: Conversational Continuity, Contextual Adaptation, Layered Communication, and User Agency. We provide illustrative conversation patterns demonstrating how these principles can transform disclaimers from disruptive and often ignored statements into constructive components of ethical dialogue. This work establishes a conceptual framework intended as a theoretical foundation to guide future empirical evaluation and the design of more ethically responsible and conversationally fluent LLM interfaces."
CUI,2025,Posters,Feedstack: Layering Structured Representations Over Unstructured Feedback to Scaffold Human–AI Conversation,10.1145/3719160.3737636,"Hannah Vy Nguyen, Grace Yu-Chun Yen, Omar Shakir, Hang Huynh, Sebastian Gutierrez, June A Smith, Sheila Jimenez, Salma E Abdelgelil, Stephen MacNeil","Many conversational user interfaces facilitate linear conversations with turn-based dialogue, similar to face-to-face conversations between people. However, digital conversations can afford more than simple back-and-forth; they can be layered with interaction techniques and structured representations that scaffold exploration, reflection, and shared understanding between users and AI systems. We introduce Feedstack, a speculative interface that augments feedback conversations with layered affordances for organizing, navigating, and externalizing feedback. These layered structures serve as a shared representation of the conversation that can surface user intent and reveal underlying design principles.This work represents an early exploration of this vision using a research-through-design approach. We describe system features and design rationale, and present insights from two formative (n=8, n=8) studies to examine how novice designers engage with these layered supports. Rather than presenting a conclusive evaluation, we reflect on Feedstack as a design probe that opens up new directions for conversational feedback systems."
CUI,2025,Posters,Augmentation by Segmenting Audio in Speech Emotion Recognition,10.1145/3719160.3737628,"An Zhang, Mei Si","Speech Emotion Recognition (SER) suffers from limited training data, hampering model robustness. To address this challenge, we propose a novel data augmentation technique that enhances training diversity by segmenting input audio files into smaller, fixed-length units. Each segment is evaluated to determine its representativeness of the overall emotion label assigned to the full audio sample. Segments deemed representative retain the original emotion label, effectively expanding the dataset while preserving emotional consistency and contextual integrity. We evaluate the method by fine‑tuning Wav2vec 2.0 and training TIM‑Net. Experimental results demonstrate that models trained on the augmented datasets achieve notable performance improvements, with accuracy gains ranging from $1\%$ to $3\%$ on benchmark datasets, including IEMOCAP, RAVDESS, and SAVEE, compared to models trained exclusively on the original data. These findings underscore the potential of our augmentation method to advance SER performance and bridge the gap caused by limited training data."
CUI,2025,In-context and context-aware CUIs,Chat with the 'For You' Algorithm: An LLM-Enhanced Chatbot for Controlling Video Recommendation Flow,10.1145/3719160.3736628,"Shuo Niu, Dikshith Vishnuvardhan, Venkata Sai Reddy Punnam","The rise of short-form video platforms like TikTok, driven by algorithmic recommendations, fosters immersive flow experiences. While users value personalization and engagement, they also seek greater agency over their For You recommendations. This paper designs, prototypes, and evaluates TKGPT, an LLM-enhanced conversational interface that helps users articulate their interests and understand recommendations. Through qualitative interviews and a user study, we examine how the TKGPT influences algorithmic folk theories and the sense of agency. Findings show that users primarily use TKGPT to seek relevant videos, explain preferences, and exert control over the algorithm. The resulting For You videos better reflect user interests, enhance the understanding of algorithm, improve content relevance, and reduce feelings of exploitation. Notably, users' sense of agency is significantly associated with their improved understanding of how the algorithm works. We discuss the opportunities and challenges of using conversational user interfaces to enhance user control over video recommendations."
CUI,2025,Workshop: Age-Inclusive CUIs,Designing Age-Inclusive Interfaces: Emerging Conversational and Generative AI to Support Interactions across the Life Span,10.1145/3719160.3728626,"Cosmin Munteanu, Sayan Sarcar, Jaisie Sin, Christina Ziying Wei, Sergio Sayago, Wei Zhao, Jenny Waycott, Rezvan Boostani, Moojan Ghafurian, Cristina Getson","We are concurrently witnessing two significant shifts: voice and chat-based conversational user interfaces (CUIs) are becoming ubiquitous (especially more recently due to advances in generative AI and LLMs - large language models), and older people are becoming a very large demographic group (and increasingly adopting of mobile technology on which such interfaces are present). However, despite the recent increase in research activity, age-relevant and inter/cross- generational aspects continue to be underrepresented in both re- search and commercial product design. Therefore, the overarching aim of this workshop is to increase the momentum for research within the space of hands-free, mobile, and conversational inter- faces that centers on age-relevant and inter- and cross-generational interaction. For this, we plan to create an interdisciplinary space that brings together researchers, designers, practitioners, and users, to discuss and share challenges, principles, and strategies for designing such interfaces across the life span. We thus welcome contributions of empirical studies, theories, design, and evaluation of hands-free, mobile, and conversational interfaces designed with aging in mind (e.g. older adults or inter/cross-generational). We particularly encourage contributions focused on leveraging recent advances in generative AI or LLMs. Through this, we aim to grow the community of CUI researchers across disciplinary boundaries (human-computer interaction, voice and language technologies, geronto-technologies, information studies, etc.) that are engaged in the shared goal of ensuring that the aging dimension is appropriately incorporated in mobile / conversational interaction design research."
CUI,2025,Posters,Integrating Ethical AI Tools into Educational Practices for Enhancing Academic Integrity,10.1145/3719160.3737626,"Mitchell Petingola, Yue Zhang, Yan Yan, Wenjun Lin","As large language models (LLMs) become increasingly integrated into educational settings, concerns about academic integrity, ethical usage, and student engagement are becoming more prominent. While these AI tools can effectively provide personalized learning experiences and support diverse student needs, they also risk overreliance and promote unethical academic practices if used without appropriate safeguards. This paper presents a novel approach that integrates an LLM-based assistant directly into a learning management system (LMS) with carefully designed constraints to encourage active learning, reduce misuse, and preserve academic integrity. We establish core design principles to address the challenges associated with LLMs in education and provide a detailed description of our system's architecture. Additionally, we conduct a pilot study to assess the tool’s impact on student learning and gather feedback for further improvements. A prototype of the tool is publicly available on Github."
CUI,2025,CUIs for health and wellbeing,PlanFitting: Personalized Exercise Planning with Large Language Model-driven Conversational Agent,10.1145/3719160.3736607,"Donghoon Shin, Gary Hsieh, Young-Ho Kim","Creating personalized and actionable exercise plans often requires iteration with experts, which can be costly and inaccessible to many individuals. This work explores the capabilities of Large Language Models (LLMs) in addressing these challenges. We present PlanFitting, an LLM-driven conversational agent that assists users in creating and refining personalized weekly exercise plans. By engaging users in free-form conversations, PlanFitting helps elicit users’ goals, availabilities, and potential obstacles, and enables individuals to generate personalized exercise plans aligned with established exercise guidelines. Our study—involving a user study, intrinsic evaluation, and expert evaluation—demonstrated PlanFitting’s ability to guide users to create tailored, actionable, and evidence-based plans. We discuss future design opportunities for LLM-driven conversational agents to create plans that better comply with exercise principles and accommodate personal constraints."
CUI,2025,Posters,"Motivations, Means, and Meanings: Understanding AI Tool Usage Among Students in the Global South",10.1145/3719160.3737624,"Md. Alvi Islam Ratul, Faria Haque, Pratyasha Saha, Jannatun Noor, S M Taiabul Haque","The widespread adoption of Artificial Intelligence (AI) has significantly influenced how students engage with learning, driving increased use of AI tools for both academic and non-academic purposes. This study explores students' motivations for using AI tools and examines the relationship between usage patterns and socio-economic backgrounds. Drawing on 15 semi-structured interviews, our research investigates students' perceptions, learning motivations, and concerns from a Global South perspective. The findings reveal a user-friendly and multifaceted engagement between students and AI chatbots—spanning academic assistance, assessments, photo editing, emotional expression, and entertainment suggestions. While students generally appreciate the benefits of these tools, some expressed privacy concerns rooted in skepticism about data deletion, even when such requests are made to AI platforms. This study provides valuable insights into how students in the Global South interact with AI tools, shedding light on both their functional use and user trust issues."
