conference,year,session name,paper title,DOI,author list,abstract
IEEE VR,2022,Session: Displays,Content Presentation on 3D Augmented Reality Windshield Displays in the Context of Automated Driving,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Content+Presentation+on+3D+Augmented+Reality+Windshield+Displays+in+the+Context+of+Automated+Driving,"Andreas Riegler, Andreas Riener, Clemens Holzmann","Increasing vehicle automation presents challenges as drivers of automated vehicles become more disengaged from the primary driving task, as there will still be activities that require interfaces for vehicle-passenger interactions. Augmented reality windshield displays provide large-content areas supporting drivers in both driving and non-driving related tasks. Participants of a user study were presented with two modes of content presentation (multiple content-specific windows vs. one main window) in a virtual reality driving simulator. Using one main content window resulted in better task performance and lower take-over times, however, subjective user experience was higher for the multi-window user interface."
IEEE VR,2022,Session: Displays,Sparse Nanophotonic Phased Arrays for Energy-Efficient Holographic Displays,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Sparse+Nanophotonic+Phased+Arrays+for+Energy-Efficient+Holographic+Displays,"Susmija Jabbireddy, Yang Zhang Zhang, Martin Peckerar, Mario Dagenais, Amitabh Varshney","The Nanophotonic Phased Array (NPA) is an emerging holographic display technology. With chip-scaled sizes, high refresh rates, and integrated light sources, a large-scale NPA can enable high-resolution real-time holography. One of the critical challenges is the high electrical power consumption required to modulate the amplitude and phase of the pixels. We propose a simple method that outputs a sparse NPA configuration to generate the desired image. Using as few as 10% of dense 2D array pixels, we show, through computational simulations, that a perceptually acceptable holographic image can be generated. Our study can advance research on sparse NPAs for holography."
IEEE VR,2022,Session: Displays,Metameric Varifocal Holograms,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Metameric+Varifocal+Holograms,"David Robert Walton, Koray Kavakli, Rafael Kuffner dos Anjos, David Swapp, Tim Weyrich, Hakan Urey, Anthony Steed, Tobias Ritschel, Kaan Akşit","Computer-Generated Holography (CGH) is a promising display technology, but holographic images suffer from noise and artefacts. We propose a new method using gaze-contingency and perceptual graphics to help address these. Firstly, our method infers the user's focal depth and generates images at their focus plane. Second, it displays metamers; in the user's peripheral vision, we only match local statistics of the target. We use a novel metameric loss function with an accurate display model in a gradient descent solver. Our method improves foveal quality, avoiding perceptible artefacts in the periphery. We demonstrate our method on a real prototype holographic display."
IEEE VR,2022,Session: Displays,Design of a Pupil-Matched Occlusion-Capable Optical See-Through Wearable Display,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Design+of+a+Pupil-Matched+Occlusion-Capable+Optical+See-Through+Wearable+Display,"Austin Wilson, Hong Hua","The state-of-the-art optical see-through head-mounted displays (OST-HMD) for augmented reality applications lack the ability to render correct light interaction behavior between digital and physical objects, known as mutual occlusion capability. This paper presents a novel optical architecture for enabling a compact, high performance, occlusion-capable optical see-through head-mounted display (OCOST-HMD) with correct, pupil-matched viewing perspective. The proposed design utilizes a single-layer, double-pass architecture, offering a compact OCOST-HMD solution that is capable of rendering per-pixel mutual occlusion, a correctly pupil-matched viewing between virtual and real views, and a very wide see-through field of view (FOV). Based on this architecture, we demonstrate a design embodiment and a compact prototype implementation. The prototype offers a virtual display with an FOV of 34 by 22, an angular resolution of 1.06 arc minutes per pixel, and an average image contrast greater than 40% at the Nyquist frequency of 53 cycles/mm. Further, the prototype system affords a wide see-though FOV of 90 by 50, within which about 40 diagonally is occlusion-enabled, along with an angular resolution of 1.0 arc minutes, comparable to a 20/20 vision and a dynamic range greater than 100:1. Lastly, we composed a quantitative color study that compares the effects of occlusion between a conventional HMD system and our OCOST-HMD system and the resulting response exhibited in different studies."
IEEE VR,2022,Session: Displays,Video See-Through Mixed Reality with Focus Cues,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Video+See-Through+Mixed+Reality+with+Focus+Cues,"Christoph Ebner, Shohei Mori, Peter Mohr, Yifan (Evan) Peng, Dieter Schmalstieg, Gordon Wetzstein, Denis Kalkofen","We introduce the first approach to video see-through mixed reality with support for focus cues. By combining the flexibility to adjust the focus distance found in varifocal designs with the robustness to eye-tracking error of multifocal designs, our novel display architecture delivers focus cues over large workspaces. In particular, we introduce gaze-contingent layered displays and mixed reality focal stacks, an efficient representation of mixed reality content that lends itself to fast processing for driving layered displays in real time. We evaluate this approach by building an end-to-end pipeline for capture, render, and display of focus cues in video see-through displays."
IEEE VR,2022,Session: Security,Virtual Reality Observations: Using Virtual Reality to Augment Lab-Based Shoulder Surfing Research,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Virtual+Reality+Observations%3A+Using+Virtual+Reality+to+Augment+Lab-Based+Shoulder+Surfing+Research,"Florian Mathis, Joseph O'Hagan, Mohamed Khamis, Kami Vaniea","We exploit VR's unique characteristics and study the use of non-immersive/immersive VR recordings for real-world shoulder surfing research. We demonstrate the strengths of VR-based shoulder surfing research by exploring three different authentication scenarios: automated-teller-machine (ATM), smartphone PIN, and smartphone pattern authentication. Our results show that applying VR for shoulder surfing research is advantageous in many ways compared to currently used approaches (e.g., lab-based 2D video recordings). We discuss the strengths and weaknesses of using VR for shoulder surfing research and conclude with four recommendations to help researchers decide when (and when not) to employ VR for shoulder surfing research."
IEEE VR,2022,Session: Security,Can I Borrow Your ATM? Using Virtual Reality for (Simulated) In Situ Authentication Research,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Can+I+Borrow+Your+ATM%3F+Using+Virtual+Reality+for+%28Simulated%29+In+Situ+Authentication+Research,"Florian Mathis, Kami Vaniea, Mohamed Khamis","In situ evaluations of novel authentication systems, where the system is evaluated in its intended usage context, are often infeasible due to ethical and legal constraints. In this work, we explore how VR can overcome the shortcomings of authentication studies conducted in the lab and contribute towards more realistic authentication research. Our findings highlight VR's great potential to circumvent potential restrictions researchers experience when evaluating authentication schemes. We provide researchers with a novel research approach to conduct (simulated) in situ authentication research and conclude with three key lessons to support researchers in deciding when to use VR for authentication research."
IEEE VR,2022,Session: Security,Combining Real-World Constraints on User Behavior with Deep Neural Networks for Virtual Reality (VR) Biometrics,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Combining+Real-World+Constraints+on+User+Behavior+with+Deep+Neural+Networks+for+Virtual+Reality+%28VR%29+Biometrics,"Robert Miller, Natasha Kholgade Banerjee, Sean Banerjee","Deep networks demonstrate enormous potential for VR security using behavioral biometrics. Existing datasets are small, and make automated learning of real-world behavior features using deep networks challenging. We incorporate real-world constraints such as spatial relationships between devices in the form of displacement vectors and trajectory smoothing in input data for deep networks performing behavior-based identification and authentication. We evaluate our approach against baseline methods that use raw data directly and that perform global normalization. Using displacement vectors, we show higher success over baseline methods in 36 out of 42 cases of varying user sets, VR systems, and sessions."
IEEE VR,2022,Session: Security,HoloLogger: Keystroke Inference on Mixed Reality Head Mounted Displays,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=HoloLogger%3A+Keystroke+Inference+on+Mixed+Reality+Head+Mounted+Displays,"Shiqing Luo, Xinyu Hu, Zhisheng Yan","When using services in mixed reality (MR) such as online payment and social media, sensitive information must be typed in MR. Keystroke inference attacks have been conducted to hack such information. However, previous attacks require placing extra hardware near the user, which is easily noticeable in practice. In this paper, we expose a more dangerous malware-based attack through the vulnerability that no permission is required for accessing MR motion data. Extensive evaluations of our HoloLogger system demonstrate that the proposed attack is accurate and robust in various environments such as different user positions and input categories."
IEEE VR,2022,Session: Security,Temporal Effects in Motion Behavior for Virtual Reality (VR) Biometrics,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Temporal+Effects+in+Motion+Behavior+for+Virtual+Reality+%28VR%29+Biometrics,"Robert Miller, Natasha Kholgade Banerjee, Sean Banerjee","We evaluate how deep learning approaches for security through matching VR trajectories are influenced by natural behavior variabilities over varying timescales. On short timescales of seconds to minutes, we observe no statistically significant relationship between temporal placement of enrollment trajectories and matches to input trajectories. We observe similar median accuracy for users with high and low medium-scale enrollment/input separation of days to weeks. Over long timescales of 7 to 18 months, we obtain optimal performance for short and long enrollment/input separations by using training sets from users providing long-timescale data, as these sets encompass coarse and fine behavior changes."
