conference,year,session name,paper title,DOI,author list,abstract
IUI,2022,Explainable AI (XAI) 1,TiiS: Explaining conversational agents for use in criminal investigations,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=TiiS%3A+Explaining+conversational+agents+for+use+in+criminal+investigations,Sam Hepenstal,
IUI,2022,Learning and Playing,Agenda- and Activity-Based Triggers for Microlearning, https://dl.acm.org/doi/10.1145/3490099.3511133,"Fiona Draxler, Julia Maria Brenner, Manuela Eska, Albrecht Schmidt, Lewis L Chuang","The ubiquity of mobile devices has fueled the popularity of microlearning, namely informal self-directed learning during brief personal downtime. However, learner engagement is challenging to maintain and microlearning habits are hard to establish. Scheduled reminders are ineffective as they do not match the users' variable schedules and their intention or capacity to engage. In this paper, we propose a schedule-based and an activity-based trigger for microlearning. The first trigger is sensitive to the learners' agenda and device status, and includes a snooze mechanism. An four-week study (n=10) showed slightly lower response times when compared to triggers scheduled at a fixed time, but did not improve learner engagement. The second trigger initiates audio-based microlearning when plugging in headphones. Thus, we minimize the access to personal data and capture a moment where learners engage with their device for a listening activity. In an exploratory user study (n=10), the plugin trigger achieved higher compliance rates and was less likely to induce annoyance in users than lock screen notifications. We conclude that intelligent reminders with simple interaction options can contribute to learner engagement."
IUI,2022,Alternative Input Modes,Hazard Notifications for Cyclists: Comparison of Awareness Message Modalities in a Mixed Reality Study, https://dl.acm.org/doi/10.1145/3490099.3511127,"Tamara von Sawitzky, Thomas Grauschopf, Andreas Riener","Cycling is an environmentally friendly means of transport with growing popularity. However, there is still potential for more road safety in the future. We argue that by making assistance systems available to cyclists, accidents could be prevented. In this paper, we focus on potential accidents caused by vehicle doors opening in a cyclist’s path of travel, which can lead to serious injuries to the cyclist. Using a mixed-methods approach, we investigated how messages informing about a potentially opening door ahead are perceived and understood regarding usability and intuitiveness in a bicycle simulator study (N=24). We investigated how visual messages, visual messages and auditory icons, and visual and voice messages on a head-mounted device are subjectively perceived compared to the baseline condition (no messages). We also assessed our participants’ attitudes toward using such systems and mixed reality simulations for bicycle safety research in general. Our results show that participants preferred visual messages and auditory cues and that they found these types of notifications more enjoyable than visual messages alone. Furthermore, the results suggest that such a system would be used while cycling. Participants agreed that mixed reality simulations are suitable for testing and evaluating novel support systems in the first step but confirmed that final real-world testing on the road is mandatory."
IUI,2022,Tools for AI Developers,Emblaze: Illuminating Machine Learning Representations through Interactive Comparison of Embedding Spaces, https://dl.acm.org/doi/10.1145/3490099.3511137,"Venkatesh Sivaraman, Yiwei Wu, Adam Perer","Modern machine learning techniques commonly rely on complex, high-dimensional embedding representations to capture underlying structure in the data and improve performance. In order to characterize model flaws and choose a desirable representation, model builders often need to compare across multiple embedding spaces, a challenging analytical task supported by few existing tools. We first interviewed nine embedding experts in a variety of fields to characterize the diverse challenges they face and techniques they use when analyzing embedding spaces. Informed by these perspectives, we developed a novel system called Emblaze that integrates embedding space comparison within a computational notebook environment. Emblaze uses an animated, interactive scatter plot with a novel star trail augmentation to enable visual comparison. It also employs novel neighborhood analysis and clustering procedures to dynamically suggest groups of points with interesting changes between spaces. Through think-aloud sessions with ML experts, we demonstrate how interactive comparison with Emblaze can help gain new insights into embedding space structure."
IUI,2022,"Health, Well-being and Accessibility","The ""Artificial"" Colleague: Evaluation of Work Satisfaction in Collaboration with Non-human Coworkers", https://dl.acm.org/doi/10.1145/3490099.3511128,"Shadan Sadeghian, Marc Hassenzahl","The advance of AI-based technologies transforms work processes tremendously. Work forms a major part of life and its extent of meaningfulness can affect overall well-being. Previous research has investigated human-AI collaboration at work based on performance and cost outcomes. However, little attention is given to how collaboration with AI influences the meaningfulness of work and job satisfaction. In this paper, we present an online experiment, where we evaluated the perception of work meaningfulness and relationship to the collaborator across different task distributions and collaborators (human/AI). Our results indicate that people, in general, prefer working with a human, and having a meaningful task increases their satisfaction. Moreover, we found that people have a different perception of the relationship to their collaborator doing the same tasks with a human or an AI. These results provide preliminary implications for the design of collaboration with AI that consider job satisfaction."
IUI,2022,Interacting with Machine Learning,Efficiently correcting machine learning: considering the role of example ordering in human-in-the-loop training of image classification models, https://dl.acm.org/doi/10.1145/3490099.3511110,"Geoff Holmes, Eibe Frank, Dale Fletcher, Corey Sterling"," Arguably the most popular application task in artificial intelligence is image classification using transfer learning. Transfer learning enables models pre-trained on general classes of images, available in large numbers, to be refined for a specific application. This enables domain experts with their own---generally, substantially smaller---collections of images to build deep learning models. The good performance of such models poses the question of whether it is possible to further reduce the effort required to label training data by adopting a human-in-the-loop interface that presents the expert with the current predictions of the model on a new batch of data and only requires {\em correction} of these predictions---rather than {\em de novo} labelling by the expert---before retraining the model on the extended data.   This paper looks at how to order the data in this iterative training scheme to achieve the highest model performance while minimising the effort needed to correct misclassified examples. Experiments are conducted involving five methods of ordering, using four image classification datasets, and three popular pre-trained models. Two of the methods we consider order the examples \textit{a priori} whereas the other three employ an active learning approach where the ordering is updated iteratively after each new batch of data and retraining of the model. The main finding is that it is important to consider accuracy of the model in relation to the number of corrections that are required: using accuracy in relation to the number of labelled training examples---as is common practice in the literature---can be misleading. More specifically, active methods require more cumulative corrections than \textit{a priori} methods for a given level of accuracy. Within their groups, active and \textit{a priori} methods perform similarly. Preliminary evidence is provided that suggests that for ``simple'' problems, i.e., those involving fewer examples and classes, no method improves upon random selection of examples. For more complex problems, an \textit{a priori} strategy based on a greedy sample selection method known as ``kernel herding'' performs best."
IUI,2022,Recommender Systems and Decision-Making,Recommendations as Challenges: Estimating Required Effort and User Ability for Health Behavior Change Recommendations, https://dl.acm.org/doi/10.1145/3490099.3511118,"Helma Torkamaan, Jürgen Ziegler"," Recommender Systems (RS) use implicit and explicit user feedback to recommend desired products or items online. When the recommendation item is a task or behavior change activity, several variables, such as the difficulty of the task and users' ability to achieve it, in addition to user preferences and needs, determine the suitability of the recommendations. This paper focuses on how user ability and task difficulty concepts can be integrated into the recommendation process to personalize health activity recommendations. To this end, we compare five approaches, some borrowed from the sports and gaming world, and explore their application, advantages, and drawbacks. Through a study of two weeks (N=185), we obtained a suitable dataset to investigate how these algorithms can be used for a health recommender system (HRS) and which one is the appropriate choice for an online HRS in terms of characteristics and flexibility required for behavior change related tailoring. We then compared this choice with a baseline as part of a fully functional HRS to assess the feasibility and impact of integrating the user ability and required effort concepts on the user engagement with the recommendations in an online study of two weeks (N=49). The results overall suggest that such integration is effective, and in addition to realizing health behavior change requirements, it improves user engagement with the recommendations."
IUI,2022,Mobiles and Wearables,Hand Gesture Recognition for an Off-the-Shelf Radar by Electromagnetic Modeling and Inversion, https://dl.acm.org/doi/10.1145/3490099.3511107,"Arthur Sluÿters, Sébastien Lambot, Jean Vanderdonckt","Microwave radar sensors in human-computer interactions have several advantages compared to wearable and image-based sensors, such as privacy preservation, high reliability regardless of the ambient and lighting conditions, and larger field of view. However, the raw signals produced by such radars are high-dimension and relatively complex to interpret. Advanced data processing, including machine learning techniques, is therefore necessary for gesture recognition. While these approaches can reach high gesture recognition accuracy, using artificial neural networks requires a significant amount of gesture templates for training and calibration is radar-specific.  To address these challenges, we present a novel data processing pipeline for hand gesture recognition that combines advanced full-wave electromagnetic modelling (EM) and inversion with machine learning. In particular, the physical  model accounts for the radar source, radar antennas, radar-target interactions and target itself, i.e., the hand in our case. To make EM processing feasible, the hand is emulated by an equivalent infinite planar reflector, for which analytical Green's functions exist. The hand, located at a specific distance from the radar, is therefore characterized by an apparent dielectric permittivity. This apparent permittivity depends on the hand only (e.g., size, electric properties, orientation) and, together with the distance, determines wave reflection amplitude. Through full-wave inversion of the radar data, the physical distance as well as this apparent permittivity are retrieved, thereby reducing by several orders of magnitude the dimension of the radar dataset, while keeping essential information. Using the estimated distance and apparent permittivity as a function of time is finally used to train the machine learning algorithm for gesture recognition. This dimension reduction enables the use of simple gesture recognition algorithms, such as template-matching recognizers, that can be trained in real time and provide competitive accuracy with only a few samples. We evaluate significant stages of our pipeline on a dataset of 16 gesture classes, with 5 templates per class, recorded with the Walabot, a lightweight, off-the-shelf array radar. We also compare these results with an ultra wideband radar made of a single horn antenna and lightweight vector network analyzer, and a Leap Motion Controller."
IUI,2022,Learning and Playing,TiiS: Exploring the Role of Common Model of Cognition in Designing Adaptive Coaching Interactions for Health Behavior Change,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=TiiS%3A+Exploring+the+Role+of+Common+Model+of+Cognition+in+Designing+Adaptive+Coaching+Interactions+for+Health+Behavior+Change,Shiwali Mohan,
IUI,2022,Explainable AI (XAI) 1,Deep Learning Uncertainty in Machine Teaching, https://dl.acm.org/doi/10.1145/3490099.3511117,"Téo Sanchez, Baptiste Caramiaux, Pierre Thiel, Wendy E. Mackay","Machine Learning models can output confident but incorrect predictions. To address this, ML researchers use various techniques to reliably estimate ML uncertainty, usually performed on controlled benchmarks once the model has been trained.  We explore how the two types of uncertainty—aleatoric and epistemic—can help non-expert users understand the strengths and weaknesses of a classifier in an interactive setting.  We are interested not only in their use of uncertainty to teach and understand the classifier, but also in their perception of the difference between aleatoric and epistemic uncertainty. We conducted an experiment where non-experts train a classifier to recognize card images, and are tested on their ability to predict classifier outcomes. Participants who used either larger or more varied training sets significantly improved their understanding of uncertainty, both epistemic or aleatoric. However, participants who relied on the uncertainty measure to guide their choice of training data did not significantly improve classifier training, nor were they better able to guess the classifier outcome. We identified three specific situations where participants successfully identified the difference between aleatoric and epistemic uncertainty: placing a new card in the exact same position as a training card; placing different cards next to each other; and placing a non-card, such as their hand, next to or on top of a card. We discuss our methodology for estimating uncertainty for Interactive Machine Learning systems and question the need for two-level uncertainty in Machine Teaching."
IUI,2022,Mobiles and Wearables,"TiiS: Understanding, Discovering, and Mitigating Habitual Smartphone Use in Young Adults",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=TiiS%3A+Understanding%2C+Discovering%2C+and+Mitigating+Habitual+Smartphone+Use+in+Young+Adults,"Alberto Monge Roffarello, Luigi De Russis",
IUI,2022,Applications and Tools,Interpretable Aesthetic Analysis Model for Intelligent Photography Guidance Systems, https://dl.acm.org/doi/10.1145/3490099.3511155,Xiaoran Wu,"An aesthetics evaluation model is at the heart of predicting users' aesthetic experience and developing user interfaces with higher quality. However, previous methods on aesthetic evaluation largely ignore the interpretability of the model and are consequently not suitable for many human-computer interaction tasks. We solve this problem by using a hyper-network to learn the overall aesthetic rating as a combination of individual aesthetic attribute scores. We further introduce a specially designed attentional mechanism in attribute score estimators to enable the users to know exactly which parts/elements of visual inputs lead to the estimated score. We demonstrate our idea by designing an intelligent photography guidance system. Computational results and user studies demonstrate the interpretability and effectiveness of our method."
