conference,year,session name,paper title,DOI,author list,abstract
SUI,2024,"Session 5 (Assistance, Accessibility & Guidance)",Improving Video Navigation for Spatial Task Tutorials by Spatially Segmenting and Situating How-To Videos,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Improving+Video+Navigation+for+Spatial+Task+Tutorials+by+Spatially+Segmenting+and+Situating+How-To+Videos,"Book Sadprasid, Carl Gutwin, Scott Bateman","How-to videos are widely used for accessing instructional content. Many of tasks covered in these videos are spatial, requiring movement between locations within a physical space to complete different parts of the activity. Conventional linear video interfaces, which often only allow time-based  navigational techniques, like scrubbing, prove inefficient and cumbersome for such tasks. To address this, we investigate an approach for video browsing and navigation optimized for how-to videos involving spatial tasks by chaptering videos based on the location where tasks take place and using augmented reality to anchor these video segments to their physical locations via virtual signposts. Through two studies, we demonstrate that our approach outperforms both standard and chaptered video interfaces in terms of speed and ease. Our work contributes empirical evidence that spatially segmenting and situating tutorials is a promising strategy for improving video navigation. "
SUI,2024,Session 3 (Multi-User),Social VR for Professional Networking: A Spatial Perspective,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Social+VR+for+Professional+Networking%3A+A+Spatial+Perspective,"Victoria Chang, Ge Gao, Huaishu Peng","One essential function of professional events, such as industry trade shows and academic conferences, is to foster and extend a person's connections to others within a specific community. In this paper, we delve into the emerging practice of transitioning these events from physical venues to social VR as a new medium. Specifically, we ask: how does the spatial design in social VR affect the attendee’s networking at these events? To this end, we conducted qualitative research, obtaining observation notes and interview responses from 13 participants. Each had attended at least one professional event taking place in social VR. We identified four elements of (virtual) spatial design that participants commonly relied upon to navigate their social interactions during the events. Some of these elements were interpreted differently depending on the role of the participant (i.e., event hosts vs. regular attendees). We concluded this paper by outlining four design implications derived from our findings."
SUI,2024,Session 3 (Multi-User),Where to Draw the Line: Physical Space Partitioning and View Privacy in AR-based Co-located Collaboration for Immersive Analytics,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Where+to+Draw+the+Line%3A+Physical+Space+Partitioning+and+View+Privacy+in+AR-based+Co-located+Collaboration+for+Immersive+Analytics,"Inoussa OUEDRAOGO, Huyen Nguyen, Patrick Bourdot","This paper investigates two main aspects of co-located collaboration using Augmented Reality (AR) for Immersive Analytics (IA): physical space partitioning and view privacy. AR-based collaborative work in IA can greatly benefit from direct conversational awareness cues and enhanced mutual understanding between users. However, some challenges still exist, particularly in enabling efficient interaction for IA tasks such as analysis and decision-making on complex data within limited physical space. Moreover, collaborative IA often involves both cooperative and individual tasks with experts of diverse backgrounds, necessitating effective workspace management. To address spatial proximity issues in limited space such as offices or meeting rooms, we explored a workspace partitioning approach that divided physical space with virtual boundaries on the floor. We conducted a user study to examine workspace management approaches (partitioning and non-partitioning) in conjunction with view privacy policies (public and private view). Findings suggest that under private view conditions, individual tasks were completed more quickly, and non-partitioning facilitated faster placement of shared objects. Additionally, public view improved object arrangement time in partitioned space."
SUI,2024,Session 2 (Selection & Manipulation),Guiding Handrays in Virtual Reality: Comparison of Gaze and Object Based Assistive Raycast Redirection,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Guiding+Handrays+in+Virtual+Reality%3A+Comparison+of+Gaze+and+Object+Based+Assistive+Raycast+Redirection,"Jenny Gabel, Susanne Schmidt, Ken Pfeuffer, Frank Steinicke","Handray selection is widely used for hand-tracking-based interactions in head-mounted displays, as it is a simple and straightforward interaction technique. However, selection performance decreases for small and distant objects. It is also negatively affected by input inaccuracies due to natural hand tremors, tracking issues, and movement caused by pinch gestures. Recent work introduced assistive raycast redirection for controller raycasting which facilitates object selection in virtual reality. It applies a gradual proximity and gain-based redirection of the ray towards the target center within a predefined redirection zone. Inspired by this approach, we implemented two redirection techniques for improving handray selection while maintaining ease of use: \textit{RayToTarget} and the gaze-assisted \textit{RayToGaze}. We evaluated them together with classic handray in a Fitts' Law user study. Our findings suggest that both redirection techniques perform significantly better than classic handray, but performance for RayToGaze decreases at greater target depth compared to RayToTarget. Generally, handray redirection was well received and did not decrease the sense of agency. However, different individual preferences and target acquisition strategies affect the user experience for both redirection techniques and might impact selection performance."
SUI,2024,"Session 5 (Assistance, Accessibility & Guidance)",Automatic Video-to-Audiotactile Conversion of Golf Broadcasting on A Refreshable Pin Array,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Automatic+Video-to-Audiotactile+Conversion+of+Golf+Broadcasting+on+A+Refreshable+Pin+Array,"Haerim Kim, Minho Chung, Eunchae Kim, Yongjae Yoo","Video accessibility is an important but challenging research question. In this study, we implemented and evaluated a system that converts video content into audio clips and tactile icons without losing context using a refreshable pin array display. The suggested system converts contextual information of the video to audio description and tactile scenes, allowing users to hear and touch. As an initial target, we selected golf broadcasting, which has a clear context yet relies heavily on visual features and provides limited information through audio. We extracted contextual information through computer vision to deliver information such as scores and the trajectories and results of shots. Then, we converted them to audio via Text-to-Speech and tactile icons on the pin array. We evaluated the system by conducting a perception experiment and a usability survey, and the results showed that the system effectively converted the information. "
SUI,2024,"Session 5 (Assistance, Accessibility & Guidance)",Annorama: Enabling Immersive At-Desk Annotation Experiences in Virtual Reality with 3D Point Cloud Dioramas,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Annorama%3A+Enabling+Immersive+At-Desk+Annotation+Experiences+in+Virtual+Reality+with+3D+Point+Cloud+Dioramas,"Subramanian Chidambaram, Alex C Williams, Min Bai, Satyugjit Virk, Patrick Haffner, Matthew Lease, Erran Li","Point cloud annotation plays a pivotal role in computer vision and machine learning by facilitating the creation of volumetric annotations in 3D space. While prior research has explored point cloud annotation in VR environments, its practical implementation in space-constrained office settings, where data annotation is typically conducted, remains an open question. In this paper, we introduce Annorama, a interactive system that translates 3D point cloud scenes into miniature desk-scale dioramas, enabling annotation using a unique family of keyboard-assisted mid-air gestures inspired by direct manipulation. Through a within-subjects study with 16 participants, we demonstrate the feasibility of our system by assessing the efficacy of four types of mid-air gestures for drawing cuboid annotations. Our findings suggest that Annorama allows for rapid and accurate annotation of point cloud data, particularly with the Sizing and Two Point Gestures."
SUI,2024,"Session 5 (Assistance, Accessibility & Guidance)",TAGGAR: General-Purpose Task Guidance from Natural Language in Augmented Reality using Vision-Language Models,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=TAGGAR%3A+General-Purpose+Task+Guidance+from+Natural+Language+in+Augmented+Reality+using+Vision-Language+Models,"Daniel Stover, Doug Bowman","Augmented reality (AR) task guidance systems provide assistance for procedural tasks, which require a sequence of physical actions, by rendering virtual guidance visuals within the real-world environment. Current AR task guidance systems are limited in that they require AR system experts to manually place visuals, require CAD models of real-world objects, or only function for limited types of tasks or environments. We propose a general-purpose AR task guidance approach and proof-of-concept system to generate guidance for tasks defined by natural language. Our approach allows an operator to take pictures of relevant objects and write task instructions for an end user, which are used by the system to determine where to place guidance visuals. Then, an end user can receive and follow guidance even if objects change locations or environments. Our approach utilizes current vision-language machine learning models for text and image semantic understanding and object localization. We built a proof-of-concept system, called TAGGAR (Text to Automated General-purpose Guidance in AR), using our approach and tested its accuracy and usability in a user study. We found that all operators were able to generate clear guidance for tasks in an office, and end users were able to follow the guidance visuals to complete the expected action 85.7% of the time without any knowledge of the tasks."
SUI,2024,Session 2 (Selection & Manipulation),Ubiquitous BlowClick: Non-verbal Vocal Input for Confirmation with Hand-held Mobile Devices in the Field,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Ubiquitous+BlowClick%3A+Non-verbal+Vocal+Input+for+Confirmation+with+Hand-held+Mobile+Devices+in+the+Field,"Daniel Zielasko, Javier Alejandro Jaquez Lora","Mobile devices have become integral to modern life, with tasks often requiring one-handed interaction. However, conventional methods, such as tapping, face limitations, especially in scenarios where hands-free operation is crucial, like driving or using AR glasses. Alternative approaches, including speech commands and non-verbal vocal input (NVVI), have been explored to address these challenges. While speech commands suffer from inherent delays, NVVI, characterized by simple audio signatures, presents a promising solution. This study aims to integrate and evaluate NVVI on mobile devices compared to traditional tapping interaction. We introduce machine learning-based NVVI classification into an Android-based architecture, providing a fast and resource-efficient pipeline. Through empirical evaluations, including reaction time tasks and ISO 9241:411 Fitts's law selection tasks, we assess the feasibility and effectiveness of NVVI. Our findings indicate that while tapping exhibits a slight speed advantage in conventional use, blowing is consistently detected and executed with efficiency, resulting in significantly faster input, particularly when the hands are initially distant."
SUI,2024,Session 2 (Selection & Manipulation),"Evaluation of Retrieval Techniques for Out-of-Range VR Objects, Contrasting Controller-Based and Free-Hand Interaction",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Evaluation+of+Retrieval+Techniques+for+Out-of-Range+VR+Objects%2C+Contrasting+Controller-Based+and+Free-Hand+Interaction,"David Michael Broussard, Christoph W Borst","In VR environments like ``sandbox'' applications or interactive molecule simulators for education, physics-based objects can move beyond a user's natural reach. We evaluate four interaction methods to support efficient and intuitive retrieval of objects for such events, including one that has not been evaluated previously and three others derived from well-known techniques. Considering the proliferation of camera-based hand tracking in VR headsets, there is a large interest in contrasting held-controller and free-hand interaction methods, so our evaluation considers both input types to further understand tradeoffs. We gathered performance data and subjective impressions from 52 subjects in a representative game-like puzzle task. A hand-extension (``go-go''-type) technique was least promising, with image-plane and pointing-based techniques being more promising. The recent tether-handle technique was roughly on-par with others for controller input (details vary by metric); it simply uses the same underlying grab metaphor as the main interaction. For free-hand interaction, its performance is reduced in a way that reflects broader problems of grab detection and manipulation methods for whole-hand interaction in VR."
SUI,2024,Session 1 (Perception),Mapping Real World Locomotion Speed to the Virtual World in Large Field of View Virtual Environments,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Mapping+Real+World+Locomotion+Speed+to+the+Virtual+World+in+Large+Field+of+View+Virtual+Environments,"Ian Smith, Erik J Scheme, Scott Bateman","In virtual environments, the tracking of physical movements in the real world and mapping them to movement in the virtual world increases immersion and the experience of presence. For example, walking on a treadmill in the physical world may be mapped to the movement of the camera in a first-person view of the virtual world. However, due to interrelated factors relating to the field of view and distortion of objects in the virtual environment, matching the feeling of a user’s physical movement speed to their movement speed in the virtual world can be complex. This possible mismatch between perceived physical speed and virtual movement speed is detrimen- tal as it can induce motion sickness and reduce the experience of presence. Although this has been investigated with head-mounted displays, there is little information about how to overcome this mis- match when using large 2D screens that provide a very different viewing environment. To address this gap, we investigate how a 180-degree display that nearly fills the entire human FOV impacts this perceptual mismatch while moving (walking and running on a treadmill). Our results show that people prefer camera speeds that actually exceed their physical movement speed, and increasingly so at higher speeds. Interestingly, though, people’s tolerance for deviations from the ideal camera speed mapping does not change with movement speed. Inter-participant differences suggest that a single universal model for matching VE speed to movement speed is insufficient, so we propose a simple personalized linear model that can be quickly calibrated for each user. This work therefore provides important findings to inform and improve the design of virtual environments for an improved user experience."
